task,task_label,method,source_batch,accuracy_median,balanced_accuracy_median,f1_macro_median,primary_metric_name,primary_metric_median
tumor_normal,Tumour normal,Elastic net,100,0.9972527472527472,0.996969696969697,0.9917808837807934,AUC,0.9998217468805704
tumor_normal,Tumour normal,Logistic,100,0.9972527472527472,0.9977272727272727,0.9918878908138865,AUC,0.9998217468805704
pam50_subtype,PAM50 subtype,Elastic net,full,0.9166666666666666,0.9084578561065642,0.9100849843180777,macro-F1,0.9100849843180777
pam50_subtype,PAM50 subtype,Logistic,full,0.9107142857142858,0.9024118954192352,0.9027508039129473,macro-F1,0.9027508039129473
pam50_subtype_no_pam50_genes,PAM50 without PAM50 genes,Elastic net,1000,0.9007936507936508,0.8824067839149838,0.8854918974726176,macro-F1,0.8854918974726176
pam50_subtype_no_pam50_genes,PAM50 without PAM50 genes,Logistic,full,0.8988095238095238,0.8887717927606409,0.8927443761600817,macro-F1,0.8927443761600817
ihc_subtype,IHC subtype,Elastic net,full,0.8876146788990826,0.8171452702702702,0.8119399184818837,macro-F1,0.8119399184818837
ihc_subtype,IHC subtype,Logistic,full,0.8899082568807339,0.8398554804804804,0.8305108046479294,macro-F1,0.8305108046479294
er_status,ER status,Elastic net,250,0.944267515923567,0.9341999540863177,0.9231760332229084,AUC,0.9549471992653811
er_status,ER status,Logistic,100,0.9410828025477707,0.9303546831955923,0.9184269576855085,AUC,0.9559228650137742
her2_status,HER2 status,Elastic net,full,0.932608695652174,0.8978091236494598,0.8736696998841602,AUC,0.9613595438175271
her2_status,HER2 status,Logistic,full,0.9304347826086956,0.900360144057623,0.8737360064300634,AUC,0.9610594237695078
tnbc_status,TNBC status,Elastic net,full,0.9495412844036696,0.9279901448409734,0.9149419053780465,AUC,0.9702105420337463
tnbc_status,TNBC status,Logistic,full,0.9495412844036696,0.9293713603105869,0.9123411519562725,AUC,0.9694639390771989
tumor_normal,Tumour normal,XGBoost,1000,0.9945054945054944,0.996969696969697,0.98419452887538,AUC,0.9995320855614972
pam50_subtype,PAM50 subtype,XGBoost,full,0.9047619047619048,0.9185148172407672,0.8982373209379804,macro-F1,0.8982373209379804
pam50_subtype_no_pam50_genes,PAM50 without PAM50 genes,XGBoost,full,0.8908730158730158,0.9045293437073404,0.8921280228035964,macro-F1,0.8921280228035964
ihc_subtype,IHC subtype,XGBoost,1000,0.8944954128440367,0.834084084084084,0.8271232416586979,macro-F1,0.8271232416586979
er_status,ER status,XGBoost,full,0.945859872611465,0.9390782828282828,0.9237809666595274,AUC,0.9672434573002756
her2_status,HER2 status,XGBoost,full,0.9608695652173912,0.8919567827130852,0.91723641597697,AUC,0.9653361344537816
tnbc_status,TNBC status,XGBoost,full,0.9541284403669724,0.9307525757802,0.9203216374269004,AUC,0.9797670598775572
