endpoint,endpoint_label,model,feature_set,c_index,n_genes,best_batch_size
OS,OS,All-gene XGBoost,all genes,0.6453829032172362,20530,
OS,OS,Top30 XGBoost,best repeated Top30,0.7118685933908242,30,1000
OS,OS,Regression,all genes,0.6270557524047926,20530,
OS,OS,Elastic net,all genes,0.6128208564418696,20530,
DSS,DSS,All-gene XGBoost,all genes,0.7036071590118633,20530,
DSS,DSS,Top30 XGBoost,best repeated Top30,0.7502659422487725,30,1000
DSS,DSS,Regression,all genes,0.7161788899593777,20530,
DSS,DSS,Elastic net,all genes,0.6935763469694132,20530,
PFI,PFI,All-gene XGBoost,all genes,0.6505006684822232,20530,
PFI,PFI,Top30 XGBoost,best repeated Top30,0.7024521328742324,30,250
PFI,PFI,Regression,all genes,0.6008473084360267,20530,
PFI,PFI,Elastic net,all genes,0.573335489189471,20530,
DFI,DFI,All-gene XGBoost,all genes,0.5883376299106636,20530,
DFI,DFI,Top30 XGBoost,best repeated Top30,0.6883156790008744,30,1000
DFI,DFI,Regression,all genes,0.5699944972088676,20530,
DFI,DFI,Elastic net,all genes,0.6035966847304095,20530,
